week,winner,loser
12,Bears,Vikings
13,Cowboys,Seahawks
13,Colts,Titans
13,Chargers,Patriots
13,Lions,Saints
13,Falcons,Jets
13,Cardinals,Steelers
13,Dolphins,Commanders
13,Texans,Broncos
13,Buccaneers,Panthers
13,Rams,Browns
13,49ers,Eagles
13,Packers,Chiefs
13,Bengals,Jaguars
14,Patriots,Steelers
14,Buccaneers,Falcons
14,Bears,Lions
14,Bengals,Colts
14,Browns,Jaguars
14,Saints,Panthers
14,Jets,Texans
14,Ravens,Rams
14,Vikings,Raiders
14,49ers,Seahawks
14,Bills,Chiefs
14,Broncos,Chargers
14,Cowboys,Eagles
14,Titans,Dolphins
14,Giants,Packers
15,Raiders,Chargers
15,Bengals,Vikings
15,Colts,Steelers
15,Lions,Broncos
15,Browns,Bears
15,Buccaneers,Packers
15,Texans,Titans
15,Dolphins,Jets
15,Chiefs,Patriots
15,Saints,Giants
15,Panthers,Falcons
15,Rams,Commanders
15,49ers,Cardinals
15,Bills,Cowboys
15,Ravens,Jaguars
15,Seahawks,Eagles
16,Rams,Saints
16,Steelers,Bengals
16,Bills,Chargers
16,Falcons,Colts
16,Seahawks,Titans
16,Lions,Vikings
16,Jets,Commanders
16,Packers,Panthers
16,Browns,Texans
16,Buccaneers,Jaguars
16,Bears,Cardinals
16,Dolphins,Cowboys
16,Patriots,Broncos
16,Raiders,Chiefs
16,Eagles,Giants
16,Ravens,49ers
17,Browns,Jets
17,Cowboys,Lions
17,Bills,Patriots
17,Bears,Falcons
17,Colts,Raiders
17,Rams,Giants
17,Cardinals,Eagles
17,Saints,Buccaneers
17,49ers,Commanders
17,Jaguars,Panthers
17,Ravens,Dolphins
17,Texans,Titans
17,Steelers,Seahawks
17,Broncos,Chargers
17,Chiefs,Bengals
17,Packers,Vikings
